iter	Passed	Remaining
650	1330	713
651	1332	711
652	1334	709
653	1335	706
654	1337	704
655	1339	702
656	1340	699
657	1342	697
658	1343	695
659	1345	693
660	1347	690
661	1348	688
662	1350	686
663	1352	684
664	1353	681
665	1355	679
666	1357	677
667	1358	675
668	1360	673
669	1362	670
670	1363	668
671	1365	666
672	1367	664
673	1368	662
674	1370	659
675	1372	657
676	1373	655
677	1375	653
678	1377	651
679	1379	649
680	1381	646
681	1382	644
682	1384	642
683	1386	640
684	1387	638
685	1389	635
686	1391	633
687	1392	631
688	1394	629
689	1396	627
690	1397	625
691	1399	622
692	1400	620
693	1402	618
694	1404	616
695	1406	614
696	1407	611
697	1409	609
698	1411	607
699	1412	605
700	1414	603
701	1416	601
702	1417	598
703	1419	596
704	1421	594
705	1422	592
706	1424	590
707	1426	588
708	1427	586
709	1429	583
710	1431	581
711	1432	579
712	1434	577
713	1436	575
714	1437	573
715	1439	570
716	1441	568
717	1442	566
718	1444	564
719	1446	562
720	1447	560
721	1449	558
722	1451	555
723	1452	553
724	1454	551
725	1455	549
726	1457	547
727	1458	545
728	1460	543
729	1462	540
730	1464	538
731	1465	536
732	1467	534
733	1469	532
734	1470	530
735	1472	528
736	1474	526
737	1475	523
738	1477	521
739	1478	519
740	1481	517
741	1483	515
742	1484	513
743	1486	511
744	1488	509
745	1489	507
746	1491	505
747	1493	503
748	1495	501
749	1497	499
750	1499	497
751	1501	495
752	1503	493
753	1505	491
754	1507	489
755	1509	487
756	1511	485
757	1512	483
758	1514	480
759	1515	478
760	1517	476
761	1519	474
762	1520	472
763	1522	470
764	1524	468
765	1526	466
766	1528	464
767	1529	462
768	1531	460
769	1533	458
770	1535	455
771	1536	453
772	1538	451
773	1540	449
774	1541	447
775	1543	445
776	1544	443
777	1546	441
778	1548	439
779	1549	437
780	1551	435
781	1552	432
782	1554	430
783	1556	428
784	1557	426
785	1559	424
786	1561	422
787	1562	420
788	1564	418
789	1566	416
790	1568	414
791	1570	412
792	1572	410
793	1574	408
794	1575	406
795	1577	404
